bookID,title,authors,isbn,isbn13
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,439785960,9780439785969
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,439358078,9780439358071
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,439554896,9780439554893
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,043965548X,9780439655484
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,439682584,9780439682589
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,976540606,9780976540601
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,439827604,9780439827607
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,517226952,9780517226957
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,345453743,9780345453747
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,1400052920,9781400052929
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,739322206,9780739322208
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,517149257,9780517149256
21,A Short History of Nearly Everything,Bill Bryson,076790818X,9780767908184
22,Bill Bryson's African Diary,Bill Bryson,767915062,9780767915069
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,767910435,9780767910439
24,In a Sunburned Country,Bill Bryson,767903862,9780767903868
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,076790382X,9780767903820
26,The Lost Continent: Travels in Small Town America,Bill Bryson,60920084,9780060920081
27,Neither Here nor There: Travels in Europe,Bill Bryson,380713802,9780380713806
28,Notes from a Small Island,Bill Bryson,380727501,9780380727506
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,380715430,9780380715435
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,345538374,9780345538376
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,618517650,9780618517657
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,618346252,9780618346257
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,618260587,9780618260584
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,618391002,9780618391004
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,618510826,9780618510825
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,097669400X,9780976694007
50,Hatchet (Brian's Saga  #1),Gary Paulsen,689840926,9780689840920
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,1557344493,9781557344496
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,385326505,9780385326506
54,Molly Hatchet - 5 of the Best,Molly Hatchet,1575606240,9781575606248
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,1595580271,9781595580276
